Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code_YoY_Change,Element Code_YoY_Change,Item Code_YoY_Change,Year Code_YoY_Change,Value_YoY_Change
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2514,Maize and products,2013,2013,1000 tonnes,-1001.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.0960613081447157,0.0,0.0,-1.0356633889126408
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2514,Maize and products,2013,2013,1000 tonnes,39964.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.16541798107255512,0.0,0.0,-40.92407592407592
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2514,Maize and products,2013,2013,1000 tonnes,106515.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.10319742852309255,0.0,0.0,1.6652737463717346
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2514,Maize and products,2013,2013,1000 tonnes,84011.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.04150160347104315,0.0,0.0,-0.21127540721964044
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2514,Maize and products,2013,2013,1000 tonnes,887.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0010867596449919414,0.0,0.0,-0.9894418588042042
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2514,Maize and products,2013,2013,1000 tonnes,3220.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.07309571195947173,0.0,0.0,2.6302142051860202
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2514,Maize and products,2013,2013,1000 tonnes,7703.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0015615850087840055,0.0,0.0,1.3922360248447205
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2514,Maize and products,2013,2013,1000 tonnes,5343.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.00448255700643152,0.0,0.0,-0.3063741399454758
FBS,Food Balance Sheets,5400,Europe,5142,Food,2514,Maize and products,2013,2013,1000 tonnes,5350.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.002328288707799775,0.0,0.0,0.0013101253977165772
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2514,Maize and products,2013,2013,kg,7.21,Fc,Calculated data,0.0,-0.8745624270711785,0.0,0.0,-0.9986523364485981
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2514,Maize and products,2013,2013,kcal/capita/day,54.0,Fc,Calculated data,0.0,0.029457364341085368,0.0,0.0,6.489597780859917
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2514,Maize and products,2013,2013,g/capita/day,1.25,Fc,Calculated data,0.0,0.015060240963855387,0.0,0.0,-0.9768518518518519
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2514,Maize and products,2013,2013,g/capita/day,0.18,Fc,Calculated data,0.0,0.014836795252225476,0.0,0.0,-0.856
FBS,Food Balance Sheets,5400,Europe,5511,Production,2515,Rye and products,2013,2013,1000 tonnes,14954.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2515,Rye and products,2013,2013,1000 tonnes,1925.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.01814552712756301,0.0,0.0,-0.8712719004948508
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2515,Rye and products,2013,2013,1000 tonnes,50.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.0960613081447157,0.0,0.0,-0.974025974025974
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2515,Rye and products,2013,2013,1000 tonnes,2189.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.16541798107255512,0.0,0.0,42.78
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2515,Rye and products,2013,2013,1000 tonnes,14740.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.10319742852309255,0.0,0.0,5.733668341708543
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2515,Rye and products,2013,2013,1000 tonnes,7224.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.04150160347104315,0.0,0.0,-0.5099050203527815
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2515,Rye and products,2013,2013,1000 tonnes,1090.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0010867596449919414,0.0,0.0,-0.8491140642303433
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2515,Rye and products,2013,2013,1000 tonnes,469.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.07309571195947173,0.0,0.0,-0.5697247706422018
