Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,5142,Food,2514,Maize and products,2013,2013,1000 tonnes,5350.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2514,Maize and products,2013,2013,kg,7.21,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2514,Maize and products,2013,2013,kcal/capita/day,54.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2514,Maize and products,2013,2013,g/capita/day,1.25,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2514,Maize and products,2013,2013,g/capita/day,0.18,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2515,Rye and products,2013,2013,1000 tonnes,14954.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2515,Rye and products,2013,2013,1000 tonnes,1925.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2515,Rye and products,2013,2013,1000 tonnes,50.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2515,Rye and products,2013,2013,1000 tonnes,2189.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2515,Rye and products,2013,2013,1000 tonnes,14740.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2515,Rye and products,2013,2013,1000 tonnes,7224.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2515,Rye and products,2013,2013,1000 tonnes,1090.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2515,Rye and products,2013,2013,1000 tonnes,469.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
